InvoiceNo,StockCode,Quantity,UnitPrice
546526,22558,12,1.25
546527,48187,20,6.75
546528,21559,60,2.1
C546529,22502,-1,5.95
546530,23194,8,2.25
546531,21206,12,1.65
546532,22149,40,1.85
546533,20886,12,1.95
546534,22294,24,1.25
C546535,47566B,-1,4.25
C546536,22165,-1,12.75
546537,22722,1,3.95
546538,22855,12,1.25
546539,22311,1,2.95
546540,71459,144,0.72
546541,20712,10,1.95
546542,22269,2,1.25
546543,21784,2,9.95
546544,22992,12,1.95
546545,22979,1,1.45
C546548,22147,-1,1.45
546549,22981,4,1.45
546550,22845,1,6.35
546551,84563A,-10,0.0
546552,21889,12,1.25
546553,82494L,6,2.95
546554,22148,12,1.95
546555,22720,3,4.95
546556,22411,10,1.95
C546557,M,-1,2583.76
546558,M,1,2583.76
C546559,84978,-12,1.25
546560,21172,50,1.25
546561,85062,12,1.65
546562,22616,24,0.29
546563,22745,6,2.1
546569,22079,10,1.65
546580,22766,16,2.95
546622,20713,2,1.95
C546623,21556,-1,2.55
546624,21787,24,0.85
546625,20983,24,0.85
546631,22665,24,2.55
546632,84978,72,1.06
546633,75049L,96,0.85
546634,82582,2,2.1
546635,20971,4,1.25
546636,22485,2,12.75
546637,21340,24,9.95
546638,21733,6,2.95
546639,22228,12,0.85
546640,21914,12,1.25
C546641,22180,-6,9.95
546642,22993,24,1.25
546643,22423,2,12.75
546644,21399,48,0.39
C546645,22171,-12,7.65
546646,84519B,6,1.25
C546647,22832,-1,10.75
546648,21242,6,3.29
546649,10002,1,1.63
546650,22378,1,4.96
546651,20712,1,4.13
546652,20676,1,2.46
546653,71053,1,8.29
546654,15056bl,1,12.46
546655,22379,1,4.96
546656,22386,9,4.13
546657,22962,6,0.85
546658,22993,12,1.25
546659,82494L,12,2.95
546660,22913,6,4.95
546661,22777,-25,0.0
546662,21733,6,2.95
546663,22998,1,0.42
C546664,22504,-1,29.95
546665,22692,2,7.95
546666,79321,72,0.0
546667,22725,4,3.75
546668,22992,12,1.95
546669,22698,12,2.95
546670,22696,2,1.95
C546671,22423,-1,10.95
546672,85206A,-77,0.0
546673,23348,48,0.0
546677,84879,160,1.45
546678,22436,20,0.65
546679,84798A,3,2.55
C546680,21942,-12,0.85
546681,22138,3,4.95
546682,48187,2,7.95
546683,22666,6,2.95
546684,21733,32,2.55
546685,22626,2,8.5
546686,20712,10,1.95
546687,21735,2,12.75
546688,22697,6,2.95
546689,47566,4,4.95
546690,23054,6,8.25
546691,85123A,32,2.55
546724,84380,1,1.25
546728,22827,2,145.0
546729,22021,7,1.65
546731,15044A,6,2.95
C546730,21937,-2,2.95
546732,22078,1,2.1
546733,22933,144,2.1
546734,22933,144,2.1
C546735,22933,-144,2.1
546736,22740,576,0.72
546737,82486,2,8.95
546738,20676,72,1.06
546739,82484,12,6.75
C546740,21455,-13,0.85
546741,47566,20,4.95
546742,22291,24,1.45
546748,22188,4,3.95
546749,21216,8,4.95
546750,21926,12,1.25
546751,85053,48,1.69
546752,22456,6,4.95
546753,22711,25,0.42
546754,84992,480,0.4
546755,22754,12,0.85
546756,79067,-5,0.0
546757,21188,12,2.95
C546758,22212,-1,2.1
546759,23054,2,8.25
546760,POST,3,28.0
546761,21340,4,12.75
546762,22317,1,2.95
546763,46000R,2,1.45
546764,22508,4,3.75
546765,21219,10,1.25
546766,84741C,6,1.95
546767,35915C,6,1.65
546768,22781,12,6.75
546769,84459B,12,1.49
546770,22423,1,12.75
546771,21735,1,12.75
546772,21078,36,0.85
C546773,22941,-2,8.5
546774,22914,1,4.95
546775,22988,144,1.06
546776,22665,6,2.95
C546777,84978,-2,1.06
546778,22668,5,2.95
546779,22617,1,4.95
546780,23007,24,14.95
546781,22185,12,1.65
546782,22170,4,6.75
C546783,22801,-1,3.75
546784,21925,12,1.25
546785,23049,2,8.25
546786,20725,10,1.65
546787,84879,48,1.69
546788,21948,36,1.25
546789,20711,600,1.65
546790,21500,25,0.42
546791,20724,10,0.85
546827,47566,150,4.15
546828,22502,12,5.95
546829,20971,12,1.25
546830,22962,48,0.72
546831,22993,12,1.25
546832,21078,96,0.72
546837,21868,12,1.25
546843,23230,25,0.42
546846,84378,1,1.25
546847,22301,144,2.1
546848,22353,1,2.55
546849,22423,1,12.75
546850,22046,25,0.42
546851,21232,12,1.25
546852,22041,12,2.55
546853,84375,35,2.1
C546854,20726,-1,1.45
546855,84997C,2,4.15
546856,21967,24,0.29
546857,20727,10,1.65
C546858,22839,-1,14.95
C546859,M,-102,5.45
546860,84946,48,1.25
546861,22972,12,1.65
546862,21314,8,2.1
546863,17003,720,0.25
C546864,22842,-2,6.75
C546865,79000,-1,0.65
546866,22948,8,0.85
C546867,85194S,-24,0.65
C546868,22168,-1,8.5
546869,22645,12,1.45
C546870,M,-2,2.5
546871,22027,12,0.42
546872,22170,2,6.75
546873,22917,24,0.65
546874,84947,72,1.06
546875,21754,6,5.95
546876,23230,1,0.42
546877,84946,24,1.25
546878,22423,20,4.0
C546879,M,-96,0.91
C546880,22423,-1,12.75
C546881,82483,-3,5.95
546882,22171,2,8.5
546883,22523,12,0.85
546884,22094,8,2.46
C546885,22168,-1,8.5
C546886,21843,-1,10.95
C546887,22212,-1,2.1
546888,16236,1,0.42
C546889,22258,-6,1.25
546890,21985,24,0.29
546891,15036,12,1.63
546892,22813,6,4.13
C546893,22502,-1,4.95
C546894,22461,-1,12.75
C546895,22777,-1,8.5
546896,22743,2,5.79
C546897,21937,-2,2.95
546898,22358,1,2.95
546899,20719,50,0.72
546900,82583,12,2.1
C546901,22232,-8,1.65
546902,23184,8,4.15
C546903,20886,-6,1.95
C546904,22822,-1,5.95
C546905,M,-48,0.45
C546906,82484,-1,6.75
C546907,M,-25,0.67
546908,21754,3,5.95
546909,23049,9,8.25
546910,85160B,2,0.39
546911,22483,6,2.95
546912,85132C,2,9.95
546913,20674,2,1.25
546914,22993,12,1.25
546915,22423,3,12.75
546916,84032B,6,2.95
546917,22380,5,2.1
546918,15056BL,32,5.95
546919,22585,144,1.06
546920,20719,10,0.85
546921,23183,4,3.75
546922,22355,10,0.85
546923,22171,24,6.95
546924,22630,12,1.95
546925,22989,6,3.25
546926,21190,50,1.45
546927,22559,48,1.06
546928,22813,12,1.95
546929,22638,6,2.55
C546930,22268,-1,0.85
C546931,22301,-2,2.1
C546932,90201B,-1,2.95
546933,85123A,1,0.0
C546943,BANK CHARGES,-1,56.93
546944,22300,6,2.55
C546948,S,-1,50.99
546949,84856L,1,5.95
546950,22873,1,1.95
546951,22301,6,2.55
546957,90065A,1,6.75
546963,22064,12,1.65
546972,21327,2,2.46
546973,20712,5,4.13
546974,20713,2,4.13
546976,15056n,1,12.46
546977,15056n,1,12.46
C546975,M,-1,19.05
C546978,21190,-50,1.45
546979,22089,40,2.55
546980,22411,10,1.95
546981,21547,6,2.95
546982,85014B,1,5.95
546983,22178,12,1.25
546984,22595,1,0.85
546985,22980,12,1.65
546986,21181,12,2.1
C546987,AMAZONFEE,-1,5693.05
546988,22961,12,1.45
546990,48173C,2,7.95
C546989,AMAZONFEE,-1,5225.03
546991,22711,25,0.42
546992,22654,80,4.95
546993,22720,2,4.95
546994,21877,144,1.06
546995,21982,2,0.29
546996,21693,6,2.95
546998,20685,1,7.95
C546997,84929,-6,0.55
546999,22926,36,4.95
547000,21931,30,1.95
547001,21704,144,0.72
547002,22805,12,1.25
547003,15056P,3,5.95
547004,22194,2,8.5
547005,22570,4,3.75
547006,22431,1,1.95
547007,22567,1,1.25
C547008,22567,-1,1.25
547009,22567,1,1.25
547017,21524,4,7.95
547018,79000,84,0.85
547019,72800E,1,2.55
547020,21559,6,2.55
547021,21937,5,2.95
547022,84279P,1,3.75
547023,22127,120,1.06
C547024,22962,-2,0.85
547025,22730,1,3.75
547026,82484,2,7.9
547028,85123A,4,2.95
547029,23051,1,8.25
547030,22168,2,8.5
C547031,22423,-8,10.95
547032,21080,96,0.72
547033,22386,10,1.95
547034,22844,12,7.65
547035,22993,12,1.25
547036,21914,24,1.25
547037,22900,100,2.55
547038,21626,12,1.95
547039,22776,8,9.95
547040,22178,36,1.25
547041,20725,30,1.45
547042,21116,1,8.29
C547043,22752,-1,8.5
547044,21034,2,0.95
547045,21320,72,2.1
547046,21936,5,2.95
547047,47566,60,4.15
547048,C2,1,50.0
547049,22189,3,3.95
547050,22331,6,1.65
547051,21164,6,2.95
547052,21181,4,2.1
547053,22384,10,1.65
C547054,M,-1,6.95
547055,22668,2,2.95
547056,22722,4,3.95
547057,22829,2,9.95
547058,21714,12,1.25
547059,21313,5,0.85
547060,21195,12,2.1
547061,47559B,20,1.25
547062,37444A,8,0.39
547063,22815,12,0.42
547064,23000,24,0.42
547065,22377,10,2.1
547066,20914,6,2.95
547067,84879,48,1.69
547068,23194,8,2.25
547069,21212,4,0.55
547070,84978,12,1.25
547071,22961,24,1.45
547072,20679,3,5.95
547073,84508C,2,2.55
547074,22996,24,0.42
547075,22684,10,1.25
547076,22431,6,1.95
547077,47566,6,4.95
547078,15036,24,0.75
547079,22456,1,4.95
547080,22857,24,0.85
547081,20685,2,7.95
547082,84509B,1,3.75
547083,21781,1,14.95
547084,21754,3,5.95
547085,POST,1,18.0
547086,23049,8,8.25
547087,21086,24,0.65
547088,21537,4,4.25
547089,22791,24,1.25
547090,85152,12,2.1
C547091,22766,-12,2.95
547092,84970L,12,0.95
547093,21889,12,1.25
547094,22557,12,1.65
547095,23231,25,0.42
547096,22961,12,1.45
547097,22268,12,0.85
547098,22844,2,8.5
547099,21704,12,0.85
547100,22284,12,1.65
547101,22207,24,3.75
547102,21668,12,1.25
547103,22499,6,5.95
C547104,85194L,-8,0.85
547105,84879,48,1.69
547106,22107,1,3.75
547107,82484,1,7.9
547108,22241,12,1.25
547109,85014B,3,5.95
547114,46126A,2,1.25
547122,21172,12,1.45
547134,48184,2,7.95
547154,22969,480,1.25
547165,84755,24,0.65
C547168,84750A,-24,1.95
547171,47590B,1,5.45
C547187,22993,-2,1.25
547192,84569D,12,1.25
C547193,22428,-1,6.95
547194,22628,3,4.95
547195,84879,24,1.69
547196,23004,1,0.42
547197,22558,3,1.49
C547198,22423,-1,12.75
547199,17003,2,0.29
547200,21833,36,1.69
547201,21166,12,2.08
547202,84659A,55,2.1
547203,22456,3,4.95
547204,22348,12,0.85
547205,22960,6,4.25
547206,21126,3,1.25
547207,75049L,12,1.25
C547208,84978,-5,1.06
547209,21981,24,0.29
547219,22915,36,0.42
547220,79321,4,5.75
547221,21982,24,0.29
547222,21843,2,10.95
547223,23233,25,0.42
547224,22991,6,1.95
547225,72819,3,2.55
547226,72807A,3,4.25
547227,22915,30,0.42
C547228,21417,-1,2.1
C547229,22801,-1,3.75
C547230,20914,-2,2.95
C547231,22173,-1,2.95
C547232,22424,-1,12.75
547233,47590B,9,5.45
C547234,21537,-1,4.25
C547235,82486,-2,8.95
C547236,22487,-1,9.95
C547237,21833,-24,1.69
547238,21916,1,0.42
547239,20934,1,5.45
547240,85053,2,2.1
C547241,85194L,-8,0.85
547243,22189,1,3.95
547244,84596F,2,0.42
547245,20685,2,7.95
547246,22727,24,3.75
547247,84978,12,1.25
547248,21224,4,0.83
547249,21012,3,2.46
547250,15039,15,1.63
547251,84991,24,0.55
547252,21179,12,1.25
547253,23230,25,0.42
547273,22169,1,8.5
C547309,37495,-12,3.75
547324,22200,8,4.25
547327,22975,12,1.25
547328,22272,45,0.0
547329,20681,-1,0.0
547330,21894,-40,0.0
547331,17013D,-20,0.0
547332,21613,-47,0.0
547333,22791,-70,0.0
547334,22423,3,12.75
547335,20934,-15,0.0
547336,21689,-323,0.0
547337,85025C,-230,0.0
547338,22245,-110,0.0
547339,84406B,-450,0.0
547340,22083,6,2.95
547341,85049D,-20,0.0
547343,77101A,4,0.0
C547342,82484,-1,7.9
547344,22838,5,0.0
547345,22838,-10,0.0
547346,21000,-41,0.0
547347,22470,-6,0.0
547348,85206A,4,0.0
547349,22090,6,2.95
547350,21790,24,0.85
547357,22822,4,5.95
547358,85123A,3,2.95
547359,85099F,7,1.95
547360,22423,16,10.95
547361,79321,4,5.75
547362,22948,24,0.85
547363,22459,-232,0.0
547364,21191,6,2.1
547365,35961,36,0.85
547366,84970L,36,0.95
547367,22068,2,1.65
C547368,21931,-1,1.95
547369,21898,-83,0.0
547370,22822,1,5.95
547371,21340,16,9.95
547372,21314,1,2.1
547373,20724,100,0.72
547374,84228,1,0.42
547375,22139,3,4.95
C547376,21535,-1,2.55
547377,85062,12,1.65
547378,22698,12,2.95
547379,21533,3,4.95
547380,48173C,1,7.95
547381,47518F,24,0.12
547382,22098,1,1.25
547383,22720,12,4.95
547384,POST,1,18.0
547385,22992,1,3.75
547386,21039,1,5.79
547387,22697,6,2.95
C547388,84050,-12,1.65
547389,22919,4,0.65
547390,POST,1,40.0
547391,20914,24,2.95
547393,21034,15,0.95
547394,71477,1,0.0
547395,84977,1,0.0
547396,21484,2,8.29
547397,20668,36,0.42
547398,20685,1,16.63
547399,22179,2,13.29
547400,15056bl,1,12.46
547401,84800L,3,2.12
547402,85028L,12,0.0
547403,85028L,-2,0.0
547404,85028S,24,0.0
547405,22967,6,2.95
547406,20975,48,0.65
547407,22627,1,8.5
C547408,22627,-1,8.5
C547409,23176,-8,2.25
C547410,21937,-1,2.95
547411,23007,1,16.95
547412,21212,24,0.55
547413,82494L,6,2.95
547414,22168,2,8.5
547415,22236,2,12.75
547416,84678,6,2.55
547417,37342,24,0.79
547418,35914,12,0.85
547419,71459,144,0.72
547420,84755,16,0.65
547428,22720,3,4.95
547444,84279B,4,3.75
547485,22970,1,2.55
547486,22066,48,0.39
547487,84596E,-153,0.0
547488,22626,3,8.5
547489,21524,4,7.95
547490,21900,8,0.65
547491,72051S,32,0.42
547492,22138,6,4.95
547493,22582,144,2.1
547494,71459,36,0.85
C547495,22384,-2,1.65
547496,22771,12,1.25
547497,90036F,4,7.95
547498,84519B,2,1.25
547500,20982,24,0.85
547501,23127,12,4.95
C547502,84755,-1,0.65
547503,22041,6,2.55
547504,21212,24,0.55
547505,22198,-9,0.0
547506,21538,-2,0.0
547507,22529,24,0.42
547508,22629,64,1.65
547509,22726,16,3.75
547510,22487,4,8.5
547511,84879,8,1.69
547512,47566,100,4.15
547513,22333,16,1.65
547514,22497,4,4.25
547515,21668,12,1.25
547516,22457,12,2.95
547517,22661,20,0.85
547518,20712,100,1.65
547519,16014,1000,0.32
547520,22631,12,1.95
547521,21485,3,4.95
547522,21717,5,0.0
547523,85197,5,0.0
547524,22451,4,0.0
547525,21258,3,0.0
547526,22627,3,0.0
547527,21826,2,0.0
547528,84840,2,0.0
547529,21841,1,0.0
547530,22764,3,0.0
547531,82605,1,0.0
547532,84227,1,0.0
547533,84968B,2,0.0
547534,90084,1,0.0
547535,20719,10,0.85
547536,90005A,1,0.0
547537,21929,10,1.95
547538,21931,10,1.95
547539,22928,4,5.95
547541,21931,100,1.65
547546,21232,144,1.06
547547,21340,1,24.96
547548,22907,2,0.85
547549,84592,6,2.95
547550,84946,72,1.06
547551,20665,1,5.79
547552,22358,1,5.79
547553,22274,1,2.95
547554,21340,8,9.95
547555,22714,12,0.42
547556,21473,1,19.95
547557,22866,2,0.0
547558,22710,50,0.42
547559,72759,-524,0.0
547560,72732,-2472,0.0
547561,23127,4,4.95
547562,21259,6,5.95
547563,22716,12,0.42
547564,21175,24,2.55
547565,20970,4,3.75
547566,POST,1,27.0
547567,22569,4,3.75
547568,22424,8,10.95
547569,85054,27,2.55
547570,22487,4,8.5
547571,20726,10,1.65
547572,15056N,3,5.95
547573,22148,24,1.95
C547574,22841,-2,7.95
547575,85025C,144,0.0
547576,85099B,10,1.95
547577,82581,12,0.55
547578,84946,12,1.25
547579,23076,48,1.25
547580,22961,12,1.45
C547581,22367,-1,1.95
C547582,23194,-3,2.25
547583,22652,36,1.65
547593,20785,-2,0.0
C547594,22978,-4,3.75
547595,82483,-12,0.0
547596,84306,-5,0.0
547597,17011F,-18,0.0
547598,21332,-25,0.0
547599,21361,-10,0.0
547606,22173,-22,0.0
547611,84631,-9,0.0
547618,21547,-12,0.0
547623,47580,6,2.55
547626,20973,60,0.0
547639,22961,12,1.45
547644,85123A,6,2.95
547645,22435,12,1.25
547646,84849D,-80,0.0
547647,20727,10,1.65
547648,22978,6,3.75
547649,15056P,1,5.95
547650,21165,1,1.69
547651,84795B,1,7.95
547652,37450,1,2.95
547653,22356,100,0.72
547654,21245,1,1.69
547655,85123A,6,2.95
547656,82552,1,1.45
547657,21534,3,4.95
547658,22854,2,4.95
547659,20665,6,2.95
C547661,22356,-2,0.85
547662,20828,4,2.55
547663,22660,1,7.95
547664,20685,1,7.95
547665,22907,12,0.85
547666,22502,16,4.95
547667,22978,6,3.75
547668,21381,24,1.69
547669,85159A,1,1.95
547670,22363,2,2.95
547671,22215,4,8.5
547672,21500,25,0.42
547673,47593A,13,0.0
547674,22568,4,3.75
C547675,22263,-49,0.66
C547676,22423,-2,10.95
547684,22099,12,1.25
547685,22328,6,2.95
547686,21210,12,1.45
547687,22993,12,1.25
547688,22084,40,2.55
547689,21896,1,2.1
547690,22621,12,1.45
547691,23182,24,0.83
547694,85099F,10,1.95
547695,22229,12,0.85
547696,35809B,12,0.0
547697,22171,12,7.65
547698,22423,4,12.75
547699,21143,-32,0.0
547700,21147,-105,0.0
547701,84559D,-7,0.0
547702,22568,12,3.75
547703,16161P,25,0.42
547704,21621,100,0.0
547705,22845,1,6.35
547706,22900,600,2.32
547707,22659,300,1.95
547708,22479,360,1.48
547709,48187,2,7.95
C547710,21626,-2,1.95
547712,84360,5,5.95
C547711,22692,-1,7.95
547713,85123A,6,2.95
547714,23077,100,1.25
547715,84531B,6,0.39
547716,22719,12,1.25
547717,21172,12,1.45
547718,22702,24,2.4
547719,22423,6,12.75
547720,22829,2,9.95
547721,22720,3,4.95
547722,20973,24,0.65
547723,22992,1,1.95
547724,82613B,8,1.25
C547725,22924,-72,0.85
547726,72760B,16,8.49
547727,22174,72,1.25
547728,21181,48,1.53
547729,22752,2,8.5
547730,22423,1,12.75
547762,21143,12,1.95
C547763,22963,-12,0.85
547772,22421,1,0.42
547785,21745,12,3.75
547786,21754,1,5.95
547787,85099F,40,1.95
547788,15058A,1,24.96
547789,84692,25,0.42
547790,21126,12,1.25
547792,22617,2,4.95
C547791,22634,-2,9.95
547793,22180,2,9.95
547794,22334,6,1.65
547795,22851,1,0.85
547796,21123,72,1.25
C547797,37449,-1,9.95
C547798,22333,-2,1.65
547799,22998,24,0.42
547800,22759,1,1.65
547801,21397,48,0.39
C547802,71459,-5,0.72
547803,22969,12,1.45
547804,85194L,8,0.85
547805,22430,4,4.95
C547806,22720,-1,4.95
C547807,22962,-2,0.85
C547808,37450,-4,2.95
547809,21430,1,3.75
547810,M,1,0.85
547811,22537,48,0.42
547812,82484,300,4.77
547813,84840,1,0.0
547814,22656,1,295.0
547815,22554,36,1.65
547816,22443,1,7.95
547817,22663,3,1.95
547818,22460,4,1.25
547819,85053,5,2.1
547820,22560,24,1.25
547821,23159,120,1.85
547822,20914,12,2.95
547825,84380,36,1.25
547826,22412,12,2.1
547827,22444,82,0.0
547828,84978,36,1.06
547829,21389,24,0.85
547830,21993,2,2.46
547832,22499,48,4.95
547833,22423,1,12.75
547834,22622,24,8.5
547835,22423,32,10.95
C547836,22423,-9,10.95
547837,82484,4,7.9
C547838,84949,-6,1.65
547839,85066,6,12.75
547840,84951B,60,1.25
547841,22557,1,1.65
547842,22241,24,1.25
547843,79302M,20,2.55
547844,22171,12,7.65
547845,84946,12,1.25
547846,84946,36,1.25
C547847,20726,-1,1.65
C547848,85099B,-1,1.95
547850,85188A,4,0.85
C547849,21232,-3,1.25
C547851,21558,-1,2.55
C547852,22045,-25,0.42
C547853,21041,-1,2.95
C547854,22951,-24,0.55
C547855,22843,-1,6.75
C547856,47566,-4,4.95
C547857,85062,-3,1.65
C547858,22797,-1,16.95
C547859,85027L,-5,1.95
547860,22249,3,0.85
547861,75049L,96,0.85
547862,84231,10,0.65
547863,22957,6,2.95
547864,85186A,6,0.42
547865,23009,1,16.95
547866,84218,3,1.95
547867,22720,2,4.95
547870,82494L,4,2.95
547871,21770,1,4.95
547872,23154,2,2.08
547873,21376,4,5.45
547874,22090,2,2.95
547875,46000S,2,1.45
547876,22215,2,8.5
547877,37479B,1,0.39
547878,84970S,90,0.85
547879,15044C,12,2.95
547880,21314,2,2.1
547881,22692,1,7.95
547882,21043,12,1.95
547883,22771,12,1.25
547884,21232,12,1.25
547885,22483,12,2.95
547886,11001,16,1.69
547887,21656,6,1.45
547888,21916,24,0.42
C547889,85040B,-1,1.65
547890,84378,12,1.25
547891,10125,20,0.85
547892,22191,2,8.5
547893,20679,3,5.95
547894,22991,12,1.95
547895,22646,3,1.45
547896,22413,1,2.95
547897,22567,12,1.25
547898,48185,4,7.95
547900,22300,6,2.55
C547899,POST,-1,55.89
547901,AMAZONFEE,1,219.76
547902,22217,8,1.25
547903,47599A,1,2.1
C547904,AMAZONFEE,-1,219.76
C547905,POST,-1,18.66
547906,22665,1,2.95
547907,22969,24,1.45
C547908,M,-1,646.46
547909,21558,1,2.55
547910,21454,4,0.85
547911,46000R,2,1.45
547912,22526,1,12.75
C547913,POST,-1,13.39
547914,22139,6,4.95
C547915,POST,-1,29.7
547916,22459,-36,0.0
547917,21898,6,0.0
547918,22720,3,4.95
547919,22933,1,2.95
547920,21031,1,1.25
547921,85169A,12,1.25
547922,22464,12,1.65
547923,22602,12,0.85
547924,22423,1,12.75
547925,22957,6,2.95
547926,21399,48,0.39
547927,37444C,5,0.0
547928,37444B,1,0.0
547929,21393,3,0.0
C547930,POST,-1,18.0
547931,POST,1,28.0
547932,85197,24,0.0
547933,21445,1,0.0
547934,22233,12,1.65
547935,22656,1,125.0
547936,48187,2,7.95
547937,21792,2,6.75
547938,22288,24,1.25
547939,22423,10,12.75
547940,22771,24,1.25
547941,POST,1,150.0
547942,22499,6,5.95
547943,21357,1,0.0
547944,22509,1,16.95
547945,21080,12,0.85
547946,21448,12,1.65
547947,22384,10,1.65
547948,71038,167,0.0
547949,22699,24,2.55
547950,35241,-40,0.0
547957,20713,32,0.0
C547958,20713,-100,1.65
547959,20713,23,0.0
547960,22149,2,2.1
C547961,22411,-100,1.65
547962,17129F,12,0.85
547963,22920,12,0.65
547964,16238,1,0.42
547965,22989,6,3.25
547966,DOT,1000,0.0
547967,15036,4,1.63
C547968,22859,-1,1.65
547969,20977,8,1.25
547970,22990,1,4.95
547971,16216,10,0.16
547972,22383,150,1.45
547985,22082,10,1.65
547986,21931,10,1.95
547987,20711,10,1.95
C547988,22467,-2,2.55
547989,21621,-100,0.0
547990,47580,6,2.55
547991,23076,24,1.25
C547992,22180,-1,9.95
547993,22423,4,12.75
547994,21228,-7,0.0
547995,35823P,-12,0.0
547996,84534B,-10,0.0
547997,20857,-34,0.0
547998,20854,-2,0.0
547999,20860,-7,0.0
548000,85224,-7,0.0
548001,22451,11,0.0
548002,21051,-25,0.0
548003,21506,12,0.42
548005,22718,12,0.42
548006,22241,12,1.25
548007,82494L,6,2.95
548008,21190,-80,0.0
C548009,22720,-2,4.95
548010,23008,18,14.95
548011,22149,40,1.85
548012,22030,12,0.42
548013,22616,24,0.29
548014,35241,3,4.95
C548015,82583,-30,1.69
548016,23076,24,1.25
548017,22940,4,4.25
548033,21181,12,2.1
548038,84748,4,3.75
548069,20713,-22,0.0
548095,20850,-3,0.0
548098,21283,-15,0.0
548104,84854,-3,0.0
548110,21911,-27,0.0
548144,85099B,100,1.65
548148,21929,1,1.95
548149,72821,-2,0.0
548150,22720,1,4.95
548151,22457,6,2.95
548152,21231,12,1.25
548153,22523,12,0.85
548154,21671,12,1.25
C548155,22781,-6,7.65
548156,21586,3,2.55
548157,85099F,60,1.65
548158,22430,1,4.95
548159,22699,4,2.95
548160,22077,24,1.65
548161,20734,2,0.0
548162,21240,3,1.63
548163,21428,1,8.29
548164,20685,1,16.63
548165,22379,1,4.96
548166,15056bl,1,12.46
548167,20676,4,2.46
548168,20711,2,4.13
548169,47566,50,4.15
548170,22084,6,2.95
548171,21094,96,0.64
548172,47566B,4,4.95
548173,85067,-3,0.0
C548174,22725,-1,3.75
548175,46115B,-2,0.0
548176,85194S,10,0.65
548177,79160,12,2.1
548178,84978,12,1.25
548185,21181,12,2.1
548186,20725,30,1.45
C548187,22423,-1,12.75
548188,21171,2,1.45
548189,23193,8,2.25
548190,21154,9,1.25
548191,21377,1,3.29
548192,23077,20,1.25
C548193,22383,-1,1.65
548194,21399,1,1.63
548195,79321,27,0.0
548196,22766,4,2.95
548197,22256,12,1.25
548198,22372,1,4.25
548199,21930,10,1.95
548202,22647,12,1.45
548203,22979,74,3.95
548204,79321,14,14.95
548205,21614,48,0.0
548206,22469,-53,0.0
548207,20713,25,0.0
548208,23176,8,2.25
548209,21621,-30,0.0
548210,21340,14,9.95
548211,22333,96,1.45
548212,48173C,2,7.95
548213,22623,6,4.95
548214,22722,4,3.95
548215,21929,10,1.95
548216,22807,36,2.55
548217,85123A,32,2.55
548218,21928,10,1.95
548219,POST,1,3.95
548220,79321,14,0.0
548221,85049B,1,0.0
548222,22900,100,2.55
548223,22988,144,1.06
548224,47593A,2,0.0
548227,90099,-19,0.0
548234,22384,20,1.65
548242,20728,20,1.65
548245,48138,60,7.65
548255,22192,2,8.5
548256,22335,24,0.65
548257,21867,12,1.25
548258,22992,12,1.95
548259,22713,12,0.42
548260,22698,3,2.95
548261,90104,2,0.0
548267,22183,18,5.95
548269,22036,-45,0.0
548276,21788,144,0.65
548286,10002,180,0.0
548289,22302,6,2.55
548293,21928,100,1.65
C548307,21714,-6,1.25
548308,22431,2,1.95
548309,16045,100,0.12
548310,21750,4,2.1
548311,21975,24,0.55
548312,84836,6,1.25
548313,21843,2,10.95
548314,22969,12,1.45
548315,84879,8,1.69
548316,22622,24,9.95
548317,22084,6,2.95
548318,47591D,8,1.95
548319,22843,2,6.75
548320,22489,40,0.42
548321,48184,1,7.95
548322,21686,1,5.0
548323,22066,48,0.39
548324,22621,144,1.25
548325,21094,24,0.85
548326,82616C,24,1.25
548327,M,1,1.65
548328,21527,-21,0.0
548329,82581,250,0.42
548330,85184C,2,2.95
548331,22960,6,4.25
548332,21626,12,1.95
548333,21658,12,3.95
548334,21314,8,2.1
548335,22485,2,12.75
548336,22729,4,3.75
548337,22178,192,1.06
548338,22693,24,1.25
548339,21827,-42,0.0
548340,22595,24,0.85
C548341,21621,-4,8.5
548349,22087,40,2.55
C548350,POST,-1,2.7
548351,22178,192,1.06
C548352,22179,-1,6.75
548353,22293,24,1.45
548354,22433,48,1.65
C548355,22748,-6,2.1
C548356,22467,-9,2.55
C548357,22423,-1,10.95
548358,47559B,10,1.25
548359,21790,72,0.72
C548360,22356,-1,0.85
548361,85132A,2,9.95
C548362,22355,-10,0.85
548363,21395,48,0.39
548364,21095,53,0.0
548365,79172D,-7,0.0
548366,84678,-33,0.0
548367,22197,12,0.85
548368,23158,12,2.08
548369,84683,-6,0.0
548370,90002D,1,3.75
548371,21240,350,0.72
548372,23077,24,1.25
548373,21090,7,0.83
C548374,84969,-1,4.25
548376,22533,-80,0.0
C548375,22626,-4,8.5
548377,85016,-46,0.0
548378,22052,-75,0.0
548379,20702,11,0.0
548380,22127,-60,0.0
548381,22127,-690,0.0
548382,84898F,-2,0.0
548383,84906,5,0.0
548384,85231B,1,0.85
548385,22168,-19,0.0
548386,22411,1,2.08
C548387,22849,-2,16.95
548388,22420,9,0.42
C548389,22423,-1,12.75
548390,84660C,1,3.75
C548391,22698,-1,2.95
C548392,21277,-1,21.95
548393,21707,1,4.95
548394,82494L,-39,0.0
548395,22194,-9,0.0
548396,22719,-25,0.0
